id,date,0.0
61339789,2016-02-02,0.9773
62105046,2016-02-11,0.9827
62519695,2016-02-15,0.9418
63035577,2016-02-19,0.9186
64182499,2016-02-29,0.8525
64453527,2016-03-04,0.9638
64559412,2016-03-05,0.9134
64801278,2016-03-08,0.9947
64941348,2016-03-09,0.9461
66068429,2016-03-19,0.9304
66363528,2016-03-22,0.9287
66572289,2016-03-23,0.9798
66729604,2016-03-24,0.933
67054808,2016-03-26,0.9022
67553023,2016-03-30,0.9759
67919545,2016-04-01,-0.9406
68798751,2016-04-06,0.8658
69129348,2016-04-09,0.9786
69572904,2016-04-11,0.9946
70560014,2016-04-18,0.996
32392458,2015-05-17,0.9957
33006652,2015-05-24,0.9712
33712837,2015-05-31,0.9756
34318867,2015-06-07,0.9965
34971654,2015-06-14,0.9819
35668480,2015-06-21,0.9823
37160594,2015-07-05,0.9845
37594724,2015-07-08,0.9165
37993214,2015-07-12,0.9359
38853733,2015-07-19,0.9512
39337000,2015-07-22,0.9804
41072887,2015-08-04,0.9976
42161831,2015-08-11,0.9432
42968594,2015-08-16,0.9664
44128329,2015-08-24,0.9287
44860096,2015-08-29,0.9039
45288347,2015-09-01,0.8741
45931692,2015-09-07,0.5994
46892261,2015-09-14,0.9022
47628627,2015-09-21,0.836
48420374,2015-09-26,0.974
48878542,2015-09-29,0.971
49341730,2015-10-03,0.9838
51438782,2015-10-20,0.9252
52046292,2015-10-26,0.9951
52677981,2015-11-01,0.9231
53741337,2015-11-12,0.9911
54314286,2015-11-18,0.96
54595550,2015-11-22,0.9492
55190320,2015-11-29,0.9752
55835193,2015-12-06,0.9558
57130717,2015-12-22,0.8746
57515475,2015-12-27,0.9806
58030654,2015-12-31,0.9656
58586840,2016-01-03,0.9688
59294931,2016-01-09,0.9916
59921942,2016-01-17,0.9657
60694975,2016-01-26,0.9801
65152170,2016-03-11,0.9672
65556400,2016-03-15,0.9745
66206158,2016-03-20,0.9728
66685378,2016-03-24,0.9785
67140325,2016-03-27,0.9431
68724442,2016-04-06,0.9708
69231839,2016-04-10,0.9837
70477912,2016-04-18,0.967
2046641,2012-08-20,0.9901
2111604,2012-08-27,0.8957
2267003,2012-09-11,0.9816
2550373,2012-10-08,0.9697
2876060,2012-11-13,0.9891
2932503,2012-11-20,0.9959
4674357,2013-05-20,0.9836
6665038,2013-08-20,0.9674
7420060,2013-09-19,0.9545
7609133,2013-09-26,0.9815
8040307,2013-10-14,0.9642
8325438,2013-10-26,0.9399
11811582,2014-04-15,0.7269
12074563,2014-04-22,0.9449
12337166,2014-04-29,0.9908
12725145,2014-05-09,0.9697
13129849,2014-05-20,0.987
13666996,2014-06-02,0.9538
14052449,2014-06-10,0.9695
14690829,2014-06-24,0.9888
17677233,2014-08-16,0.9094
20545444,2014-10-01,0.7227
21576546,2014-10-20,0.9869
22361949,2014-11-04,0.9708
22655385,2014-11-11,0.9673
22894814,2014-11-17,0.0
23637655,2014-12-07,0.9468
29570000,2015-04-09,0.952
29836394,2015-04-13,0.9673
30295759,2015-04-20,0.9648
31047208,2015-05-01,0.9552
31597069,2015-05-07,0.7712
32364072,2015-05-17,0.465
33224562,2015-05-26,0.9945
34368232,2015-06-07,0.9808
35400204,2015-06-18,0.8883
36971548,2015-07-03,0.9853
37665151,2015-07-09,0.9961
38509442,2015-07-16,0.8896
39765350,2015-07-26,0.9565
43478110,2015-08-20,0.9552
44017102,2015-08-23,0.9778
44527786,2015-08-27,0.9513
50454931,2015-10-12,0.9384
51124635,2015-10-18,0.9944
52322236,2015-10-28,0.9812
52932924,2015-11-02,0.9255
56077913,2015-12-08,0.9411
56426381,2015-12-13,0.9328
57903171,2015-12-30,0.9909
61280028,2016-02-02,0.9693
62204462,2016-02-12,0.8404
24876750,2015-01-03,0.9734
25428318,2015-01-15,0.9961
25533690,2015-01-18,0.9819
25780061,2015-01-25,0.9806
26015958,2015-02-01,0.9954
26263050,2015-02-08,0.9929
26602407,2015-02-16,0.9876
26926419,2015-02-22,0.999
27185133,2015-02-27,0.875
27281717,2015-03-01,0.9808
27814351,2015-03-12,0.9884
28002190,2015-03-16,0.854
28324384,2015-03-22,0.9516
28722033,2015-03-29,0.9859
28995800,2015-04-02,0.9684
